ori,trip,f_size,mrt_km_o,cycle_km_o,smooth_entro_o,ori_far_pc1,ori_far_pc2
1338,257,37.36363636,0.65,0.8,0.257155976,-2.05493833,-0.160963081
1339,410,66.77272727,0.71,0.87,0.728743496,-2.292072852,-0.178110148
1340,323,46.04545455,0.94,0.62,0.327103576,-1.636900138,-0.130734968
1517,208,29,0.77,0.32,0.534310781,-1.0675935,-0.089568717
1518,208,29.86363636,0.7,0.02,0.327103576,-1.815444813,-0.143645436
1520,196,24.72727273,0.73,0.5,0.163551788,-0.406176796,-0.041742038
1691,218,40.72727273,1.17,0,0.691519738,-1.536713981,-0.123490562
1694,226,58,1.21,0,0.288983099,2.43724397,-1.83287661
1695,400,69.18181818,1.28,0,0.534310781,-1.063436347,-0.089268116
1861,267,75.04545455,1.49,0,0.427256377,-0.774956412,-0.06840829
1866,404,96.59090909,0.88,0,0.542121726,0.197830665,0.6445888
1867,202,59.36363636,1.09,0,0.445258984,-0.124900461,0.829931315
1873,327,57.31818182,0.65,0,0.351033384,-1.089430342,-0.183049362
1874,236,56.59090909,1.15,0,0.144491549,-2.485870043,-0.243676781
1886,255,64.63636364,2.03,0,0.163551788,0.619296216,1.646437312
2040,230,29.27272727,1.51,0,0.44872197,0.118593183,0.179834931
2047,283,60.77272727,1.02,0,0.356207187,-0.375818605,0.153656065
2050,210,23.90909091,1.41,0,0.624329779,-1.159069673,-0.007534251
2051,241,43.86363636,0.78,0,0.34585958,-0.972863261,-0.082718826
2053,266,38.36363636,0.64,0,0.34585958,-0.997328189,0.046495031
2066,357,83.59090909,2.06,0,0.35083127,-1.40403646,-0.113896723
2225,226,59.90909091,1.32,0,0.288983099,-0.975217417,-0.082889054
2226,231,21.63636364,0.71,0,0.544057161,0.551286161,1.447229995
2228,255,33.09090909,1.26,0,0,-1.636882042,-0.13073366
2230,190,25.81818182,1.62,0,0.600127747,-1.176510367,0.112191834
2232,204,18.04545455,0.92,0,0.605541264,-1.000690572,-0.084731003
2233,303,36.68181818,0.89,0,0.363733427,-0.790190211,-0.069509838
2244,224,32.27272727,0.97,0,0.564575034,-0.802326703,-0.070387421
2247,210,41.68181818,1.67,0,0.49113259,-0.382645026,-0.040040469
2402,204,33.40909091,0.37,0,0.339608202,-0.860922177,-0.074624427
2405,196,28.59090909,0.98,0,0.322595143,-0.533277018,-0.050932586
2407,448,44.36363636,0.72,0,0.632742173,-1.218338944,-0.100469038
2412,242,29.77272727,1.11,0,0.601773482,-1.07795722,-0.090318112
2413,206,37.5,1.74,0,0.381607273,0.044767438,-0.009134508
2427,224,39.36363636,1.19,0.12,0.720457448,-1.276739375,-0.056408087
2583,330,112.7272727,1.18,0,0.690438968,-1.25599989,-0.10319228
2584,192,52.45454545,1.37,0,0.773017646,-1.557094523,-0.124964268
2589,198,26.36363636,1.52,0,0.580827454,-1.493954908,0.396489641
2590,232,41.27272727,1.79,0,0.519758975,-1.546188776,0.013945511
2604,219,27.90909091,0.47,0.23,0.412053225,-2.29695113,-0.178462894
2606,244,32.90909091,1.06,0.6,0.684604601,-1.518314354,-0.081002097
2607,238,39.68181818,1.07,0.3,0.481465348,-1.616852275,-0.118070666
2762,189,25.31818182,1.36,0,0.587527233,-2.318494654,-0.037228192
2784,293,47.95454545,0.94,0,0.583557621,-2.011247618,-0.157803829
2786,258,32.22727273,0.69,0.25,0.46145282,-0.180338288,-0.025411779
2788,241,50.36363636,1.57,0,0.694679554,-1.413855434,-0.114606728
2969,236,81.45454545,1.79,0.27,0.681211741,-1.286599956,-0.162745386
3144,195,31.18181818,0.97,0,0.288983099,-1.801215938,-0.142616554
3145,245,29.36363636,0.89,0.16,0.65711005,-0.367656478,-0.038956655
3146,337,55.68181818,1.14,0,0.642244218,-1.177585485,-0.097522178
3147,287,50.95454545,1.46,0.23,0.770300039,-0.407070497,0.245244735
3325,555,98.31818182,1.3,0,0.712414374,-1.933027149,-0.15214775
3326,242,36.95454545,1.53,0,0.706388832,-1.922026641,-0.151352309
3505,416,36.68181818,1.29,0.27,0.591493888,-1.736412365,-0.137930643
3506,260,35.90909091,1.11,0.35,0.731087212,-1.786958405,-0.141585599
3507,211,43.86363636,1.43,0.49,0.408369934,-0.188911023,-0.026031669
3684,204,32.09090909,1.34,0,0.629544391,-2.061707072,-0.157011078
4249,296,51.22727273,0.3,0,0.672662663,1.447755275,-1.074653526
4250,550,63.86363636,0.48,0,0.663203517,1.052207824,-0.771995348
4252,215,20.81818182,0.45,0,0.364395523,0.048044985,-0.00889751
4430,212,22.22727273,0.24,0,0.542121726,0.423231404,-0.510929571
4552,208,28.86363636,1.22,0,0.527229714,-1.215675104,-0.100276417
4553,255,55.77272727,1.16,0,0.257155976,-1.078018768,-0.090322563
4554,311,104.3181818,1.31,0,0.49113259,-1.035700185,-0.087262529
4734,240,64.04545455,1.71,0,0.495915663,0.772000148,-0.66395033
4913,312,64.5,0.49,0,0,-0.987298226,-0.527263455
4914,264,38.95454545,0.8,0,0.500698736,0.865239869,-0.628934433
4964,243,29.5,0.42,0,0.768336673,0.368168285,0.914356322
4971,222,38.95454545,0.34,0,0.568865569,-2.883229131,-0.220856335
5090,234,56.86363636,0.93,0,0.767854127,-0.783461038,-0.022202362
5091,277,52.95454545,0.79,0,0.778956938,-0.97379525,0.045349511
5092,240,41.04545455,0.97,0,0.288983099,-0.812626373,-0.071132184
5093,309,73.90909091,0.92,0,0.267155391,-0.737362281,-0.131782589
5147,538,52.86363636,0.61,0,0.747495371,-1.377061263,-0.68248273
5155,284,40.95454545,0.27,0,0.411265306,0.028627986,0.551481386
5274,286,59.27272727,1.27,0,0.684604601,1.63555534,-1.218351141
5320,256,34.86363636,0.66,0,0.689881534,-1.47434511,0.06511725
5327,424,45.95454545,0.24,0,0.599165709,3.396217151,-1.382810543
5460,386,64.09090909,0.21,0,0.178103594,-1.287769806,-0.105489545
5461,348,66,0.54,0,0.341655381,-1.057353274,0.05851311
5488,268,26.81818182,1.05,0,0.275845945,1.127382846,3.134666883
5641,228,35.22727273,0.12,0,0.683310763,-1.445829892,-0.013433082
5810,205,26.63636364,0.55,0,0.356207187,-0.988903892,-0.083878715
5811,311,40.54545455,0.49,0,0.504784693,-1.674049995,-0.133421254
5818,325,37.45454545,0.63,0,0.500698736,-2.115277027,-0.152334908
5819,484,108.5454545,0.73,0,0.615556199,-0.336733349,0.331439604
5820,189,27.27272727,0.6,0,0.356207187,-0.891437484,-0.076830973
5848,523,59.86363636,0.18,0,0.596217788,-0.127877321,-0.021618356
5866,376,31.36363636,0.18,0,0.606556555,0.056863265,-0.366047943
5870,193,29.18181818,0.62,0,0.342319229,-1.18787636,-0.291731199
5988,267,71.45454545,1.25,0,0.770349378,-1.104769242,-0.092256875
5989,267,60.36363636,0.89,0,0.461182781,-1.292208405,-0.105810498
5990,320,80.77272727,0.64,0,0.433774954,-1.712364542,-0.136191758
5991,237,44.54545455,0.37,0,0.327103576,-1.004412342,-0.085000123
5996,289,47.40909091,0.39,0,0.656265789,-2.098683577,-0.164126276
6000,391,85.45454545,0.42,0,0.673609559,-0.797219831,-0.070018146
6028,225,28.09090909,0.35,0,0.298108894,-0.84995316,-0.073831264
6050,218,41.90909091,0.71,0,0.352326835,2.136878505,-1.601944955
6062,198,27.18181818,2.01,0.23,0.730545155,0.659996006,-1.799235459
6168,308,94.95454545,1.45,0,0.717144457,-1.362602316,-0.110900643
6169,333,93.54545455,1.08,0,0.566158374,-0.830159871,-0.072400022
6179,311,62.18181818,0.43,0.11,0.327103576,-1.694791201,-0.134921039
6180,303,57.31818182,0.66,0.23,0.519758975,-1.713893452,-0.136302313
6181,462,102.1818182,0.3,0,0.694679554,-1.075270758,0.121511066
6182,226,64.54545455,0.52,0,0.560818803,-0.586101085,-0.108022681
6226,203,27.31818182,0.72,0,0.347339777,-1.424356883,-0.115366082
6349,200,52.5,1.66,0,0.516078542,-1.032626565,-0.087040278
6361,259,57.36363636,0.5,0.22,0.519758975,-0.882752201,-0.228681575
6362,213,37.40909091,0.83,0,0.69743207,-1.681895782,-0.179126107
6427,306,28.68181818,0.67,0.42,0.272215138,-0.062750034,-0.016909037
6428,270,31.09090909,0.61,0.19,0.356207187,0.08948636,-0.03535674
6430,228,31.36363636,1.25,0.09,0.356207187,-1.640929491,-0.131026329
6749,242,26.36363636,0.46,0.31,0.412822235,-1.148366939,0.341125829
6790,293,44.5,1.13,0.35,0.350925257,-1.783134818,-0.141309118
6928,289,57.54545455,0.95,0.36,0.360228724,-1.689226998,-0.134518695
6969,262,55.13636364,1.77,0,0.271060863,-1.668987399,-0.133055181
7108,380,57.04545455,1.38,0.36,0,-0.507156581,-0.049043831
7109,220,31.5,1.6,0.31,0.616086675,-0.555559797,-0.01792763
7110,196,33.04545455,0.9,0.28,0.633843558,-0.516942862,-0.049751472
7111,190,25.72727273,1.15,0.32,0.606556556,-1.06313716,-0.06120096
7149,220,45.63636364,1.96,0,0.542121726,-0.702608006,-0.063176816
7288,331,81.54545455,1.63,0,0.294640111,-2.207129263,-0.141766088
7289,453,64.86363636,1.76,0,0.327103576,0.365293854,-0.253429919
7291,194,23.81818182,1.21,0.5,0.67880233,-0.249462367,0.13853194
7328,309,85.72727273,1.6,0.32,0.715511585,-1.388622887,-0.112782176
7329,198,42.18181818,1.93,0.35,0.693885442,-0.918943229,-0.078819898
7434,295,23.95454545,0.2,0,0.669968073,-0.364285797,0.024577688
7438,225,36.13636364,0.93,0,0.44193576,2.329668566,-1.74946073
7468,210,26.95454545,1.59,0,0.589280222,-1.107120779,-0.23877438
7470,256,26.31818182,1.49,0,0.534310781,-0.98924884,-0.083799728
7502,235,57.54545455,1.65,0,0.356207187,-1.932654717,-0.15212082
