ori,trip,f_size,mrt_km_o,cycle_km_o,smooth_entro_o,ori_far_pc1,ori_far_pc2
617,66,9.818181818,1.85,0,0.117254754,0.228338637,0.501288836
618,72,17.5,2.02,0,0.534885867,0.376569267,0.935469138
800,78,19.27272727,1.77,0,0.833372454,0.00123486,-0.012282325
976,90,12.90909091,1.97,0,0.545217487,0.053852209,-0.008477593
977,182,42.22727273,1.33,0.36,0.409223232,-0.431562825,-0.043577688
978,132,27.63636364,1.41,0.42,0.564575034,-1.485015582,-0.119752279
1150,129,19.77272727,1.99,0,0.336850997,0.163848093,0.312390468
1157,95,14.81818182,1.01,0.14,0.368163404,-0.975429336,-0.082904377
1158,150,20.77272727,1.08,0.27,0.654207152,-1.633211562,-0.130468249
1159,86,13,0.94,0.74,0.669366303,-1.429315097,0.09745128
1328,78,11.13636364,2.64,0,0.542121726,0.088950781,-0.034946935
1329,93,20.77272727,2.18,0,0.34585958,0.263933773,0.605550058
1330,64,10.40909091,1.63,0,0.590499874,0.192040753,0.3949692
1337,168,34.09090909,1.56,0.2,0.327103576,-1.822994788,-0.14419137
1341,73,12.18181818,1.34,0.2,0.356207187,-1.839593246,-0.145391596
1342,61,11.72727273,1.52,0,0.654210241,0.209425306,-0.127129555
1510,70,7,1.58,0,0.60482058,-0.321254459,-0.035601351
1511,103,15.36363636,1.29,0,0.534310781,-0.796788669,-0.069986969
1512,136,26,1.27,0,0.327103576,-0.807759771,-0.070780283
1514,71,17.04545455,2.39,0,0.280599119,0.14910278,0.269200174
1521,72,6.090909091,1.4,0.12,0.178103594,0.351808774,0.862943519
1681,93,14.09090909,2.41,0,0.213628189,-0.014298746,0.172468981
1687,76,18.22727273,1.24,0,0.534310781,0.096187273,0.11420609
1688,132,31.63636364,1.26,0,0.726221233,-0.515760369,-0.025036998
1689,142,27.22727273,1.54,0,0.356207187,-1.255402338,-0.103149072
1692,118,28.13636364,1.29,0,0.327103576,-1.215219664,-0.100243484
1693,61,17.54545455,0.95,0,0.356207187,0.289071052,-0.400841555
1698,75,17.09090909,1.02,0.32,0.163551788,-0.51310742,-0.049474133
1699,77,13.5,0.66,0.4,0.468170404,-1.192809297,0.237394967
1700,165,27.59090909,1.1,0.41,0.227776313,-1.461622262,-0.118060721
1701,113,27.81818182,1.23,0,0.326632011,0.91509795,-0.618264493
1702,166,21.68181818,1.61,0,0.163551788,0.071053009,-0.021252226
1860,185,78.59090909,1.74,0,0.830604871,0.018314161,0.186767476
1862,106,21.31818182,1.8,0,0.49113259,-0.804231228,-0.070525136
1863,101,32.13636364,2,0,0.619307657,-0.848156603,-0.073701356
1868,143,26.68181818,0.96,0,0.666470458,-1.250332897,0.097181041
1869,112,17.59090909,1.23,0,0.765580219,-1.727120163,-0.137258729
1870,83,13.27272727,1.57,0,0.621735532,-1.024036417,-0.086419129
1871,90,17.95454545,0.99,0,0.518689659,-1.115977795,-0.093067359
1875,139,30,1.31,0,0.267155391,-0.706554847,-0.06346221
1881,163,43.45454545,1.72,0,0.653264021,1.609846811,-0.260145689
1883,132,22.45454545,1.56,0,0,0.115611584,-0.067432823
1885,101,15.63636364,1.84,0,0.60843702,0.280751076,0.654809392
2044,73,12,1.36,0,0.597509517,-0.331020025,-0.036307493
2045,161,35.13636364,0.89,0,0.308043338,-0.089495678,-0.018843
2046,128,32.90909091,0.57,0,0.543089444,0.051651021,-0.00863676
2048,142,16.04545455,0.87,0,0.333235229,-0.900252497,-0.077468381
2049,115,14.36363636,1.34,0,0.356207187,-0.879905094,-0.075997072
2054,60,8.772727273,0.9,0,0.254215201,0.033682586,-0.009936048
2063,158,39.13636364,1.63,0,0.163551788,4.710066612,-3.570852657
2064,124,19.86363636,1.71,0,0.564575034,0.261249548,0.245507806
2065,179,22.04545455,1.39,0,0.356207187,-0.197993691,-0.026513883
2067,128,27.86363636,1.99,0,0.356207187,0.05345034,-0.008506652
2229,104,14.72727273,1.38,0,0.481465348,-0.781313617,-0.068867976
2231,78,10.18181818,1.15,0,0.542121726,-1.134358154,-0.094396433
2241,67,11.77272727,1.88,0,0.3804173,1.356321229,-1.004691599
2242,171,37.22727273,1.73,0,0.331954178,0.309996346,-0.478716209
2243,177,48.5,1.38,0,0.327103576,0.412233639,-0.893377938
2245,180,25.22727273,1.03,0,0.53290943,-0.900683784,-0.077499567
2246,181,30.59090909,1.89,0,0.701662539,-1.82740103,-0.144509983
2248,120,16.63636364,1.46,0,0.35385363,0.092948478,0.10471938
