ori,trip,f_size,mrt_km_o,cycle_km_o,smooth_entro_o,ori_far_pc1,ori_far_pc2
74,0,0,3.64,0,0,0.054314049,-0.008444198
75,0,0,3.27,0,0.356207187,0.054314049,-0.008444198
79,3,1.772727273,3.06,0,0,0.095125066,0.111094793
255,5,0.590909091,3.14,0,0.356207187,0.054314049,-0.008444198
256,8,0.727272727,2.91,0,0.250349368,0.054314049,-0.008444198
258,0,0,2.93,0,0,0.054981526,-0.006489098
260,0,0,3.25,0,0,0.074447484,0.050528371
437,39,5.363636364,2.31,0,0.234509508,0.175294442,0.345917812
438,36,13.86363636,2.13,0,0.267442934,0.355492024,0.873732074
439,3,0.227272727,2.47,0,0.339976251,0.157640659,0.294208357
613,7,1.454545455,3.39,0,0.638494704,0.382534799,0.952942696
619,7,0.636363636,2.21,0,0.542121726,0.347493333,0.850303218
626,15,2.454545455,3.33,0,0.757230433,1.08807956,-0.799443064
627,0,0,3.78,0,0.282287517,0.324587761,-0.215247576
791,10,1,3.08,0,0.49113259,0.064001311,0.019930629
792,1,0.454545455,2.76,0,0.356207187,0.181234954,0.363318083
793,25,3.954545455,3.2,0,0.559435703,0.203374669,0.42816722
797,35,6,1.57,0.29,0.204611616,0.051198568,-0.008669476
799,1,0.363636364,2.17,0,0.449164457,0.215887689,0.464818933
803,0,0,2.9,0,0.519758975,0.113552572,-0.053771309
804,0,0,2.96,0,0.222919653,0.087979657,-0.034203868
805,22,6.318181818,2.81,0,0.891836539,0.438372704,-0.302311577
806,1,1,3.19,0,0.350945343,0.838115562,-0.600024197
807,7,0.5,3.54,0,0.564575034,0.055683333,-0.009491923
971,27,4.727272727,2.63,0,0.243659407,0.28773839,0.675275835
972,19,2.363636364,2.43,0,0.288983099,0.530504296,1.386358118
973,15,2.136363636,3.31,0,0.480376701,0.215966273,0.465049113
974,6,0.954545455,2.67,0,0.178103594,0.13968468,0.241613747
979,42,8.227272727,1.28,0.59,0.356207187,0.054262194,-0.008447947
983,2,0.318181818,2.37,0,0.327103576,0.166293823,0.046300866
984,17,2.227272727,2.9,0,0.445839305,0.180001568,-0.102493395
985,7,1.090909091,2.66,0,0.488342455,0.386102295,-0.262316206
986,7,0.590909091,3.39,0,0.175472671,0.06375013,-0.015664336
1148,8,1,2.36,0,0.271060863,0.055608878,-0.009434953
1149,35,4,3.47,0,0.193621561,0.512011087,1.332189912
1152,18,2.772727273,2.2,0,0.712414374,0.067670784,0.030678833
1153,12,1.681818182,2.28,0,0.481465348,0.150891589,0.27443975
1154,30,3.181818182,2.38,0,0.136107569,0.136253749,0.231564254
1160,31,5.636363636,1.33,0,0.356207187,-0.769471142,-0.068011653
1161,8,1.954545455,2.57,0,0.178103594,-0.230342779,-0.029027577
1164,35,8.227272727,2.25,0,0.532500838,0.065196987,0.023432866
1327,8,0.545454545,2.63,0,0.327103576,0.212607151,-0.129564184
1331,29,4.772727273,1.82,0,0.288983099,0.081655763,0.071642042
1333,56,7.772727273,1.84,0,0.240732674,0.071182603,0.040965252
1334,50,7.590909091,2.21,0,0.272215138,0.400420665,1.005331941
1343,5,0.454545455,1.83,0,0.271060863,0.089598196,-0.035442313
1500,14,0.636363636,2.4,0,0,0.695105357,1.868488826
1501,42,11.59090909,2.66,0,0,-0.23424759,0.272197001
1502,21,3.590909091,2.42,0,0.57250927,-0.140738376,-0.022548332
1506,2,0.454545455,1.77,0,0.684604601,0.072349485,0.044383152
1526,0,0,2.6,0,0.163551788,0.055713781,-0.004344261
1657,0,0,9.79,0,0,0.06145792,0.012480818
1659,0,0,9.95,0,0,0.054679404,-0.007374039
1665,0,0,5.88,0,0,0.069677599,0.036556966
1666,0,0,5.74,0,0,0.055559065,-0.004797437
1679,0,0,2.19,0,0,0.122954293,0.192609
1680,28,7.045454545,2.13,0,0.415302435,2.869538028,8.237589708
1682,48,8.909090909,2.21,0,0.727309005,-0.8720517,-0.075429197
1683,33,11.22727273,1.91,0,0.77159442,-0.064098166,-0.01700652
1685,6,1.136363636,1.36,0,0.163551788,0.054597475,-0.007614017
1686,56,10.31818182,1.7,0,0.564575034,1.14393087,3.183137475
1690,49,8.863636364,1.52,0,0.619141285,-2.046718807,-0.160368732
1697,26,2.954545455,1.8,0.18,0.250223634,-0.249067232,-0.030381532
1705,39,3.636363636,2.3,0,0.34585958,0.237011794,0.52669326
1706,27,3.772727273,2.46,0,0.327103576,0.609467022,1.617646754
1837,0,0,9.51,0,0,0.057768947,0.001675497
1864,43,8.136363636,1.47,0,0.462306547,-0.122964969,-0.021263146
1865,46,6,1.31,0,0.327103576,0.087817951,0.089691621
1879,41,5.909090909,1.12,0.00362,0.234085202,0.0541188,-0.008458316
1880,34,10.90909091,1.68,0.05,0.455552625,0.241772335,-0.032780386
1882,13,1.227272727,1.84,0,0.327103576,0.46579661,-0.323295328
1887,26,3.318181818,2.08,0,0.178103594,0.115958119,0.172116601
2041,55,10,1.19,0,0.816598298,-0.11327361,-0.020562369
2042,17,7.681818182,1.45,0,0.245566295,-0.046782251,-0.015754416
2043,40,18.95454545,1.62,0,0.79365534,-0.725249589,-0.064814017
2060,1,0.0909,1.74,0,0.227776313,0.324991577,-0.19944613
2061,30,7.136363636,1.79,0,0.760834599,1.087177083,-0.762456222
2062,6,2.409090909,2.17,0,0.163551788,0.740352072,-0.533374942
2212,0,0,3.35,0,0.466380883,0.063720016,0.019106693
2213,0,0,3.04,0,0.327103576,0.054383155,-0.008241778
2214,0,0,2.42,0,0,0.054864008,-0.00683332
2215,9,0.909090909,2.09,0,0.655362602,0.067333648,0.029691331
2221,51,10.45454545,0.93,0,0.408299149,0.028909291,-0.010281202
2222,45,8,0.79,0,0,-0.191335872,-0.154435543
2223,6,1.590909091,2.05,0,0.77558535,-0.36468696,-0.038741931
2224,11,1.5,1.71,0,0.476858352,-0.100498394,-0.019638601
2240,2,0.318181818,1.9,0,0,0.217095353,-0.132998389
2249,8,1.090909091,1.81,0,0,0.058379603,0.003464163
2384,0,0,5.9,0,0.542121726,0.057353271,0.000457946
2392,3,0.181818182,3.24,0,0.442390103,0.087584745,0.089008541
2420,8,0.954545455,2.11,0,0,0.054317205,-0.008446613
2421,56,13.04545455,1.81,0,0,0.121368111,-0.059751469
2429,26,3.590909091,1.77,0,0.163551788,0.059094258,0.005557448
2576,0,0,1.86,0,0.175472671,0.076390866,0.056220704
2577,11,2,0.89,0,0,0.267953359,0.617323774
2581,27,9.045454545,1.01,0,0,-0.274950914,-0.032253167
2761,11,1.727272727,1.24,0,0,-0.275515337,-0.03229398
2764,51,8.772727273,1.98,0,0.49113259,0.351824711,-0.820297176
2766,48,7.363636364,1.68,0,0.327103576,0.429627005,-0.295619694
2767,50,5.363636364,1.91,0,0.542121726,0.46930788,-0.325982021
2768,50,7.136363636,1.7,0,0.684604601,-0.023357347,-0.014060574
2781,9,1.954545455,1.59,0,0.564575034,0.610940155,-0.412499358
2938,53,10.59090909,0.32,0,0.462880757,0.062942664,0.01682976
2939,1,0.0909,0.61,0,0,0.065119251,0.023205173
2941,5,0.454545455,1.65,0,0,-0.199344828,-0.026786132
2942,18,3.409090909,1.6,0,0.755498357,-1.139213258,-0.094747503
2943,3,0.454545455,2.66,0,0.311681289,0.285623083,-0.20624107
2944,3,0.363636364,2.69,0,0.245566295,0.676752587,-0.484710985
2946,1,0.136363636,2.04,0,0.163551788,0.076210962,-0.0251989
2947,2,0.318181818,2.12,0,0.271060863,0.060189345,-0.012939756
2960,0,0,2.08,0,0.288983099,0.128080737,-0.06488772
2961,46,12.27272727,1.66,0,0.756539116,1.352684571,-0.985224187
2963,55,9.545454545,1.18,0,0.532754914,-1.627833298,-0.13007935
2970,51,16.77272727,2.31,0,0.673609559,-0.359692139,-0.396872873
3113,14,1.636363636,4.23,0,0.350945343,0.140778,0.244816176
3114,0,0,4.42,0,0.178103594,0.143841914,0.253790642
3116,8,0.681818182,0.54,0,0.222919653,0.241103961,0.538679571
3117,1,0.954545455,0.31,0,0.178103594,0.335512593,0.815210598
3120,0,0,2.18,0,0,0.085796833,0.083771595
3141,21,2.454545455,2.08,0,0.564575034,0.365705975,-0.246709702
3150,51,10.40909091,2.07,0.15,0.594574033,0.346359491,-0.654159342
3276,1,0.0455,9.51,0,0.755846038,-0.008727388,-0.013002689
3277,0,0,9.47,0,0.356207187,0.054481524,-0.007953648
3296,0,0,0.99,0,0,0.15116271,0.275233888
3297,1,0.0455,1.96,0,0.144491549,0.6400669,1.707276438
3298,0,0,1.8,0,0,0.469639498,1.208079873
3299,1,0.0455,2.55,0,0,0.139239743,0.240310487
3323,34,5.727272727,0.74,0,0.453557465,-0.071812239,-0.01756432
3335,6,0.590909091,4.23,0,0.660902734,0.064497369,0.021383627
3336,0,0,5.96,0,0.437983081,0.062320782,0.015008214
3352,7,0.363636364,1.71,0,0.684604601,0.167524298,-0.095068464
3353,29,7.818181818,1.63,0,0.413684793,0.159811883,0.300568062
3475,1,0.454545455,1.31,0,0.163551788,0.107402124,-0.049065216
3477,0,0,2.59,0,0.288983099,0.466895364,-0.089515345
3478,0,0,1.68,0,0,0.553139065,1.452657308
3503,25,3.5,0.33,0,0.550907743,-1.051792313,-0.088426142
3510,10,2.272727273,2.48,0,0,0.741318417,-0.534114353
3515,0,0,4.91,0,0.327103576,0.186803727,0.379629499
3516,5,0.227272727,5.31,0,0.519758975,0.153895525,0.283238537
3530,3,0.363636364,0.43,0,0,0.055866113,-0.009631779
3531,9,1.090909091,0.18,0,0.356207187,0.095494653,-0.039954063
3532,3,0.454545455,1.79,0,0.684604601,0.292634107,-0.19079783
3655,2,0.136363636,1.73,0,0.327103576,0.207245141,-0.125461374
3656,0,0,2.06,0,0.534310781,1.198936642,-0.884266775
3657,0,0,2.36,0,0.273069538,0.363420525,-0.244960961
